gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,97,33061.5610201065,0.0000000000,0.0000000000,0.8037471592,245.6068650677,2134.8022139560,838.9196941462,30.7671413243,1.1577003900,2112.6377978027,1548.7797900149,0.9800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,98,33392.6585815362,0.0000000000,0.0000000000,0.7876831109,246.3945481787,2152.2114603730,856.1278553027,31.0752612421,1.1692942702,2122.2036225454,1571.3106792350,0.9900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,99,33723.7561429659,0.0000000000,0.0000000000,0.7719401258,247.1664883045,2169.5855714401,873.5107186029,31.3833811600,1.1808881503,2131.4120442417,1593.7184561157,1.0000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
1,0,945.0975614297,0.0345619116,1000.0000000000,10.9625992215,10.9625992215,54.4975255890,0.0873510719,0.8795092954,0.0330940156,9.6364285328,0.3190245912,0.0100000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
1,1,1276.1951228593,0.0000000000,0.0000000000,10.7434958360,21.7060950574,94.8857031995,0.3494042874,1.1876292132,0.0446878957,22.3829799581,0.8890206316,0.0200000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
1,2,1607.2926842890,0.0000000000,0.0000000000,10.5287715482,32.2348666056,131.2422864101,0.7861596467,1.4957491311,0.0562817759,38.1064448169,1.7749007370,0.0300000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
1,3,1938.3902457186,0.0000000000,0.0000000000,10.3183388356,42.5532054412,165.2056047381,1.3976171498,1.8038690489,0.0678756560,56.6765174736,3.0372958588,0.0400000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
1,4,2269.4878071483,0.0000000000,0.0000000000,10.1121119248,52.6653173660,197.4934913383,2.1837767965,2.1119889667,0.0794695362,77.9657837431,4.7327145648,0.0500000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
1,5,2600.5853685780,0.0000000000,0.0000000000,9.9100067568,62.5753241228,228.5060927252,3.1446385870,2.4201088845,0.0910634163,101.8497065528,6.9136981420,0.0600000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
1,6,2931.6829300076,0.0000000000,0.0000000000,9.7119409526,72.2872650755,258.4968266470,4.2802025212,2.7282288023,0.1026572965,128.2066097440,9.6289715967,0.0700000000,0.0100000000,1.0000000000,100.0000000000,1785103163.5130908489
